,MTBS_FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,STAT_CAUSE_DESCR,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,STATE
27,KELLY POINT,2005,2453588.5,Campfire,2453595.5,3875.0,47.73305556,-113.37555556,MT
28,SCHOOL,2005,2453587.5,Miscellaneous,2453644.5,52000.0,46.23444444,-117.68055556,WA
29,HASTINGS,2005,2453636.5,Lightning,2453636.5,1180.3,40.28638889,-115.61611111,NV
30,ELK COMPLEX WFU (ELK CREEK),2005,2453582.5,Lightning,2453673.5,1335.0,45.97472222,-114.88583333,ID
31,ELK COMPLEX WFU (PENNY),2005,2453584.5,Lightning,2453673.5,1067.0,46.02055556,-114.86555556,ID
32,NINE SHOT WFU,2005,2453608.5,Lightning,2453674.5,20400.0,45.09055556,-114.70361111,ID
33,SELWAY-SALMON COMPLEX (REYNOLDS LAKE),2005,2453589.5,Lightning,2453674.5,4010.0,45.5325,-114.58722222,ID
34,MUSTANG WFU,2005,2453590.5,Lightning,2453674.5,1040.0,45.42527778,-114.61638889,ID
35,LONG BLACK COMPLEX (BLACK CANYON),2005,2453584.5,Lightning,2453663.5,2000.0,46.80027778,-115.21,ID
36,CAP KNOB,2005,2453686.5,Arson,2453688.5,1555.0,36.61222222,-84.24305556,KY
37,NORTH ROAD,2005,2453611.5,Debris Burning,2453613.5,12855.0,41.99555556,-117.63888889,NV
38,GREGORY,2005,2453616.5,Equipment Use,2453623.5,1132.0,43.82055556,-115.89555556,ID
39,RIO BLANCO WFU,2005,2453544.5,Lightning,2453619.5,1182.0,37.15583333,-106.88444444,CO
40,WOOLEY,2005,2453634.5,Miscellaneous,2453634.5,3225.0,41.49972222,-123.27638889,CA
41,LOWER BURN CREEK,2005,2453583.5,Lightning,2453674.5,1086.0,45.59916667,-114.6825,ID
42,JOHNSON WFU,2005,2453533.5,Lightning,2453611.5,11611.0,34.04666667,-108.87944444,NM
43,FRANK CHURCH WFU (BEAR CREEK),2005,2453584.5,Lightning,2453678.5,5722.0,45.45583333,-114.9775,ID
44,STRIPE CREEK,2005,2453589.5,Lightning,2453674.5,4278.7,45.515,-114.76194444,ID
45,MUDERSBACH WFU,2005,2453545.5,Lightning,2453618.5,7260.0,35.86611111,-111.92527778,AZ
46,NORTH-SKINNER WFU,2005,2453548.5,Lightning,2453618.5,1315.0,35.90416667,-111.9675,AZ
47,FLORIDA,2005,2453558.5,Lightning,2453575.5,23183.0,31.42277778,-111.33,AZ
48,VALLEY ROAD,2005,2453616.5,Debris Burning,2453641.5,40483.0,43.99277778,-114.78611111,ID
49,BURNT STRIP MOUNTAIN,2005,2453591.5,Lightning,2453669.5,8580.0,45.70416667,-114.99861111,ID
50,CRAG WFU,2005,2453575.5,Lightning,2453658.5,1185.0,35.09333333,-118.20555556,CA
51,BLACK RANGE COMPLEX WFU,2005,2453519.5,Lightning,2453658.5,77000.0,33.39472222,-108.28972222,NM
52,SIGNAL ROCK,2005,2453591.5,Lightning,2453682.5,13327.0,46.14833333,-113.79583333,MT
53,CB RANCH MUTUAL AID,2005,2453591.5,Lightning,2453650.5,1708.0,46.04333333,-114.15194444,MT
54,ROCKIN,2005,2453585.5,Lightning,2453612.5,6869.0,46.05361111,-114.40472222,MT
55,MOUNTAIN,2005,2453609.5,Lightning,2453660.5,1400.0,33.65166667,-108.70416667,NM
56,ST. CLAIR,2005,2453503.5,Miscellaneous,2453503.5,1920.0,33.92027778,-111.72805556,AZ
57,PEPPIN,2004,2453140.5,Lightning,,64488.0,33.60138889,-105.43333333,NM
58,PROSPECT,2005,2453588.5,Lightning,2453653.5,3200.0,47.05,-115.01138889,MT
59,,2005,2453687.5,Arson,2453687.5,2537.0,37.10833333,-84.54166667,KY
60,BEETLE,2005,2453666.5,Arson,2453670.5,4384.92,30.21666667,-84.98333333,FL
61,SHEEP CREEK WFU,2005,2453567.5,Lightning,2453717.5,3322.0,40.86444444,-109.92833333,UT
62,FRANK CHURCH WFU (ROOT CREEK),2005,2453588.5,Lightning,2453677.5,1349.0,45.35166667,-114.975,ID
63,BIG DRY CANYON COMPLEX WFU (BIG DRY CANYON),2005,2453577.5,Lightning,2453681.5,2098.0,43.45166667,-111.14944444,ID
64,FRANK CHURCH WFU (WEST FORK AND JOE),2005,2453592.5,Lightning,2453677.5,13866.0,45.23055556,-115.32055556,ID
65,FRANK CHURCH WFU (WEST FORK AND JOE),2005,2453595.5,Lightning,2453677.5,9933.0,45.23638889,-115.32055556,ID
66,WOLF FANG WFU,2005,2453592.5,Lightning,2453677.5,3933.0,45.21555556,-115.43361111,ID
67,FRANK CHURCH WFU (MISSOURI RIDGE),2005,2453585.5,Lightning,2453677.5,6775.0,45.00055556,-115.3875,ID
68,BUTTE,2005,2453567.5,Lightning,2453575.5,7962.0,34.40638889,-111.97972222,AZ
69,PINE CANYON,2005,2453630.5,Miscellaneous,2453639.5,3922.0,36.34194444,-106.28972222,NM
70,BLOSSOM,2005,2453572.5,Lightning,2453636.5,14772.0,42.72361111,-123.93833333,OR
71,SYCAMORE,2005,2453586.5,Lightning,2453593.5,2000.0,34.68277778,-112.85416667,AZ
72,MULE PEAK,2005,2453579.5,Lightning,2453597.5,1400.0,45.10805556,-117.55972222,OR
73,FLY,2005,2453603.5,Lightning,2453611.5,1066.0,45.10277778,-118.51083333,OR
74,FALLS CREEK,2005,2453570.5,Lightning,2453589.5,1445.0,44.62222222,-113.74583333,ID
75,PATTERSON,2005,2453611.5,Miscellaneous,2453616.5,1185.0,44.5525,-113.68305556,ID
76,DIRTY FACE,2005,2453581.5,Miscellaneous,2453667.5,1150.0,47.83722222,-120.80527778,WA
77,SPRING CREEK,2005,2453593.5,Equipment Use,2453593.5,1156.0,45.33472222,-118.33416667,OR
78,,2005,2453717.5,Smoking,2453717.5,6080.0,36.56972222,-103.0,OK
79,TRYON COMPLEX (HAAS RIDGE),2005,2453590.5,Lightning,2453596.5,2296.0,45.68722222,-116.74972222,OR
80,016 CROWELL,2005,2453488.5,Miscellaneous,2453489.5,1100.0,31.39638889,-93.03083333,LA
81,TURNER CREEK,2005,2453627.5,Debris Burning,2453637.5,1419.0,45.42083333,-116.78638889,OR
82,I-90 COMPLEX (TARKIO),2005,2453586.5,Miscellaneous,2453644.5,9082.0,47.01888889,-114.68027778,MT
83,I-90 COMPLEX (WEST MOUNTAIN),2005,2453586.5,Miscellaneous,2453644.5,1642.0,47.01944444,-114.5375,MT
84,,2005,2453441.5,Miscellaneous,2453443.5,1027.0,31.13333333,-89.14166667,MS
85,WHITE DOG,2005,2453686.5,Miscellaneous,2453697.5,5300.0,31.13833333,-89.1125,MS
86,EDGE COMPLEX,2005,2453567.5,Lightning,2453575.5,72000.0,33.66666667,-111.46666667,AZ
87,THREE FIRE COMPLEX (FOUR),2005,2453543.5,Lightning,2453551.5,3000.0,33.675,-111.35,AZ
88,MILES WFU,2005,2453569.5,Lightning,2453580.5,1056.0,33.42722222,-111.07555556,AZ
89,NO MANS LAND,2006,2453807.5,Lightning,2453816.5,8294.0,34.44166667,-93.84444444,AR
90,WINDY,2006,2453806.5,Miscellaneous,2453806.5,6343.0,36.66083333,-102.98416667,OK
91,EAST AMARILLO COMPLEX,2006,2453806.5,Miscellaneous,2453813.5,427696.0,35.21666667,-100.93333333,TX
92,STEELER,2006,2453771.5,Arson,2453773.5,2380.0,37.07388889,-101.70972222,KS
93,FLATSIDE,2006,2453832.5,Lightning,2453837.5,5091.0,34.83583333,-93.04305556,AR
94,TAYLOR,2006,2453870.5,Lightning,2453920.5,1830.0,33.33611111,-108.07444444,NM
95,BRUSHY,2006,2453892.5,Lightning,2453916.5,1701.0,33.31777778,-108.91861111,NM
96,HACKBERRY,2006,2453915.5,Lightning,2453926.5,2031.0,33.92388889,-111.23583333,AZ
97,SAND,2006,2453847.5,Miscellaneous,2453850.5,1248.0,34.55638889,-110.88333333,AZ
98,GOODALE,2006,2453912.5,Lightning,2453916.5,3747.1,36.97638889,-118.26444444,CA
99,CHIPPEAN RIDGE,2006,2453874.5,Lightning,2453875.5,2500.0,37.8,-109.63583333,UT
100,JACKASS,2006,2453933.5,Lightning,2453937.5,6255.0,38.55166667,-119.35944444,CA
101,MARTINEZ,2006,2453892.5,Lightning,2453900.5,3162.0,33.58333333,-108.86666667,NM
102,MARTINEZ,2006,2453900.5,Lightning,2453917.5,6618.0,33.59722222,-108.88888889,NM
103,,2006,2453892.5,Lightning,2453903.5,5216.0,33.85722222,-108.22333333,NM
104,TIGER,2006,2453915.5,Lightning,2453924.5,5143.0,34.17916667,-112.22888889,AZ
105,BEAR PAW,2006,2453910.5,Miscellaneous,2453922.5,3075.0,36.22361111,-106.8925,NM
106,277,2006,2453883.5,Lightning,2453888.5,3259.0,30.36222222,-82.38694444,FL
107,TECOLATE,2006,2453882.5,Debris Burning,2453884.5,1500.0,37.21388889,-103.23166667,CO
108,RUSH,2006,2453940.5,Lightning,2454052.5,4850.0,41.10333333,-123.03666667,CA
109,WEST WFU,2006,2453895.5,Lightning,2453905.5,1925.0,35.90888889,-111.99694444,AZ
110,SAUNDERS,2006,2453926.5,Debris Burning,2453931.5,3000.0,45.6125,-109.48333333,MT
111,LION CREEK,2006,2453906.5,Miscellaneous,2453913.5,1499.0,38.40138889,-109.0225,CO
112,RIDGE,2006,2453938.5,Lightning,2453947.5,2418.0,34.90083333,-119.27944444,CA
113,BEAVERHEAD,2006,2453901.5,Miscellaneous,2453912.5,1497.0,33.67472222,-109.25833333,AZ
114,CORN FIELD,2006,2453883.5,Equipment Use,2453885.5,1143.0,35.59833333,-112.71333333,AZ
115,BOUNDARY COMPLEX,2006,2453968.5,Lightning,2453998.5,2329.0,44.5075,-115.36833333,ID
116,SHARPS RIDGE,2006,2453966.5,Lightning,2453984.5,5394.9,44.80277778,-118.74027778,OR
117,BEAR,2006,2453905.5,Campfire,2453970.5,55307.0,33.41138889,-108.63138889,NM
118,WARM,2006,2453894.5,Lightning,2453956.5,58630.0,36.65972222,-112.19,AZ
119,HOTLUM,2006,2453792.5,Debris Burning,2453798.5,2815.0,41.46777778,-122.33333333,CA
120,HIGH,2006,2453912.5,Lightning,2453931.5,1049.0,41.46916667,-121.33472222,CA
121,UNNAMED,2006,2453892.5,Lightning,2453926.5,6262.0,34.49416667,-110.74388889,AZ
122,BLACK HORSE CREEK,2006,2453935.5,Lightning,2453940.5,7829.4,45.59583333,-101.99444444,SD
123,BALLS CANYON,2006,2453911.5,Lightning,2453979.5,1805.0,39.66194444,-120.08277778,CA
124,VERDI (STONE RIDGE),2006,2453958.5,Miscellaneous,2453961.5,6052.0,39.535,-119.96694444,NV
125,TROY PEAK,2006,2453918.5,Lightning,2453918.5,1183.0,38.24166667,-115.525,NV
126,SIERRA,2006,2453772.5,Miscellaneous,2453772.5,10584.0,33.85194444,-117.64972222,CA
127,BIG CREEK,2006,2453945.5,Lightning,2454027.5,14000.0,45.31583333,-110.86861111,MT
128,DERBY,2006,2453969.5,Lightning,2454027.5,207115.0,45.53611111,-109.93472222,MT
129,PASSAGE FALLS,2006,2453976.5,Lightning,2454027.5,6620.0,45.23472222,-110.47361111,MT
130,JUNGLE,2006,2453978.5,Lightning,2454027.5,25828.0,45.43694444,-110.39888889,MT
131,MAXWELL,2006,2453940.5,Lightning,2453987.5,7145.0,44.49083333,-120.1975,OR
132,DAWES COUNTY COMPLEX,2006,2453942.5,Lightning,2453967.5,10079.0,42.68333333,-103.145,NE
133,DAWES COUNTY COMPLEX,2006,2453944.5,Lightning,2453967.5,17899.0,42.69111111,-102.96055556,NE
134,WATT DRAW,2006,2453929.5,Lightning,2453939.5,17552.0,45.49111111,-105.97138889,MT
135,SNOW CANYON,2006,2453967.5,Lightning,2453974.5,22233.6,41.42361111,-116.07388889,NV
136,RB-78,2006,2453876.5,Lightning,2453876.5,1600.0,36.26944444,-102.41305556,TX
137,MILK SHAKE,2006,2453876.5,Lightning,2453878.5,3500.0,36.305,-102.6325,TX
138,POTATO,2006,2453943.5,Lightning,2453996.5,18236.0,44.32472222,-114.83944444,ID
139,BOUNDARY COMPLEX,2006,2453954.5,Lightning,2454052.5,11005.0,44.49861111,-115.28916667,ID
140,HOLLAND PEAK,2006,2453968.5,Lightning,2454019.5,1840.0,47.52,-113.59861111,MT
141,TRAILHEAD,2006,2453935.5,Miscellaneous,2453985.5,4252.0,44.14972222,-115.14916667,ID
142,TANGO POINT,2006,2453958.5,Lightning,2454040.5,1467.0,47.53555556,-113.54972222,MT
143,,2006,2453960.5,Lightning,2454040.5,1020.0,47.30361111,-113.28055556,MT
144,SUN DOG,2006,2453968.5,Lightning,2454018.5,1560.0,48.68138889,-114.44166667,MT
145,MT. HOOD COMPLEX,2006,2453954.5,Lightning,2453990.5,1850.0,45.36666667,-121.59944444,OR
146,HORSE,2006,2453939.5,Campfire,2453945.5,16677.0,32.75444444,-116.66916667,CA
147,SHERWOOD,2006,2453911.5,Lightning,2453911.5,7378.0,38.255,-115.40166667,NV
148,DEEP CREEK,2006,2453977.5,Lightning,2453986.5,1484.0,39.47388889,-111.85361111,UT
149,CUB,2006,2453955.5,Lightning,2453998.5,3908.0,44.85722222,-114.77333333,ID
150,LIGHTNING CREEK,2006,2453959.5,Lightning,2453997.5,1950.0,45.44722222,-116.25944444,ID
151,CHEYENNE RIVER,2006,2453898.5,Lightning,2453899.5,2000.0,43.31027778,-105.34888889,WY
152,BALD,2006,2453938.5,Lightning,2453946.5,1250.0,34.925,-119.95972222,CA
153,CUMMINGS,2006,2453928.5,Lightning,2453932.5,4242.0,43.81333333,-104.42444444,WY
154,BOUNDARY COMPLEX,2006,2453968.5,Lightning,2453998.5,6099.0,44.5275,-115.45777778,ID
155,COLUMBIA COMPLEX,2006,2453968.5,Lightning,2454017.5,109259.0,46.14305556,-118.04416667,WA
156,EAST ROARING,2006,2453982.5,Lightning,2454020.5,3185.0,43.66833333,-115.42972222,ID
157,SAGE,2006,2453942.5,Lightning,2453944.5,4871.0,41.68583333,-120.51833333,CA
158,RED MOUNTAIN,2006,2453961.5,Campfire,2454014.5,35482.0,44.24333333,-115.38638889,ID
159,,2006,2453955.5,Lightning,2454032.5,1893.0,45.61888889,-114.71916667,ID
160,BARE PEAK,2006,2453956.5,Lightning,2454032.5,1370.0,45.83472222,-114.4175,MT
161,ORLEANS COMPLEX,2006,2453940.5,Lightning,2454026.5,15710.0,41.315,-123.49666667,CA
162,MT. AURA,2006,2453929.5,Lightning,2454032.5,1317.0,45.85111111,-114.80222222,ID
163,TROUT CREEK,2006,2453955.5,Lightning,2453995.5,4525.0,45.50694444,-115.30527778,ID
164,BURNT,2006,2453946.5,Lightning,2453970.5,2100.0,44.70027778,-115.48361111,ID
165,JIM CREEK,2006,2453969.5,Lightning,2453993.5,12946.0,45.9475,-116.87888889,OR
166,HARVEY,2006,2453912.5,Lightning,,1247.0,40.05888889,-122.90805556,CA
167,PINNACLES,2006,2453997.5,Arson,2454003.5,2750.0,34.28444444,-117.2125,CA
168,SUMMITLAKE,2006,2453967.5,Lightning,2453988.5,2500.0,44.64583333,-115.57555556,ID
169,RATTLESNAKE COMPLEX,2006,2453967.5,Lightning,2454045.5,43600.0,44.30138889,-115.78722222,ID
170,RALSTON,2006,2453983.5,Miscellaneous,2453983.5,8422.0,39.01666667,-120.7025,CA
171,HUNTER,2006,2453940.5,Lightning,2453985.5,16296.0,39.66055556,-122.86166667,CA
172,SLIDE,2006,2453960.5,Lightning,2454010.5,1430.0,46.7175,-115.1875,ID
173,SLED WFU,2006,2453970.5,Lightning,2454010.5,1700.0,46.67,-115.03222222,ID
174,BASSETTS,2006,2453997.5,Miscellaneous,2454019.5,2114.0,39.61694444,-120.60166667,CA
175,HANCOCK,2006,2453940.5,Lightning,2454031.5,10770.0,41.44888889,-123.2925,CA
176,CASCADE CREST COMPLEX (PUZZLE),2006,2453966.5,Miscellaneous,2453987.5,6340.0,44.58972222,-121.84472222,OR
177,TITUS,2006,2453939.5,Lightning,,5792.0,41.60277778,-123.37694444,CA
178,DUNCE WFU,2006,2453924.5,Lightning,2453990.5,7898.0,45.125,-114.78305556,ID
179,DAY,2006,2453982.5,Debris Burning,2454038.5,162702.0,34.63222222,-118.76972222,CA
180,HEAVENS GATE COMPLEX (GREEN ACRES),2006,2453968.5,Lightning,2453996.5,2298.0,45.25833333,-116.5575,ID
181,PERKINS,2006,2453905.5,Miscellaneous,2453936.5,14988.0,34.94361111,-119.68722222,CA
182,KINGSLEY,2006,2453941.5,Lightning,2453956.5,6854.0,40.03777778,-122.94138889,CA
183,BOULDER,2006,2453911.5,Lightning,2453928.5,2920.0,40.21888889,-120.60722222,CA
184,PIGEON,2006,2453980.5,Miscellaneous,2454018.5,35101.0,40.75111111,-123.15083333,CA
185,TRIPOD COMPLEX (TRIPOD),2006,2453940.5,Lightning,2454048.5,113011.0,48.50333333,-120.04444444,WA
186,VAN PEAK,2006,2453983.5,Lightning,2454048.5,1813.0,48.93972222,-120.27972222,WA
187,TRIPOD COMPLEX (SPUR PEAK),2006,2453919.5,Lightning,2454048.5,62173.0,48.65805556,-120.02888889,WA
188,CEDAR CREEK,2006,2453969.5,Lightning,2454028.5,1661.0,48.52416667,-120.58055556,WA
189,TATOOSH COMPLEX,2006,2453969.5,Lightning,2454048.5,51671.0,48.89611111,-120.56111111,WA
190,TWIN LAKES COMPLEX,2006,2453982.5,Lightning,2454009.5,11615.0,45.07333333,-117.15277778,OR
191,STONE 2,2006,2453962.5,Lightning,2453966.5,19482.0,42.13861111,-112.69722222,ID
192,TWIN BUTTE,2006,2453957.5,Lightning,2454042.5,1190.0,46.06416667,-114.68722222,ID
193,,2006,2453956.5,Lightning,2453959.5,2360.0,44.97916667,-115.37277778,ID
194,SIXTYTWO RIDGE,2006,2453962.5,Lightning,2454042.5,1405.0,46.13833333,-115.07638889,ID
195,SOUTHFORK COMPLEX (BISHOP CREEK),2006,2453954.5,Lightning,2454013.5,2650.0,44.94333333,-115.38055556,ID
196,LICK CREEK WFU,2006,2453922.5,Lightning,2453990.5,1038.0,45.07972222,-115.79777778,ID
197,BRUSHY,2006,2453937.5,Lightning,2454045.5,2772.0,45.97638889,-114.64972222,ID
198,SOUTHFORK COMPLEX (KRASSEL),2006,2453955.5,Lightning,2454031.5,1100.0,44.95027778,-115.71888889,ID
199,SOUTHFORK COMPLEX (SHEEP CREEK WFU),2006,2453954.5,Lightning,2454031.5,3300.0,45.02972222,-115.60305556,ID
200,SOUTHFORK COMPLEX (PHOEBE 2),2006,2453957.5,Lightning,2454031.5,1950.0,44.94194444,-115.64666667,ID
201,SOUTHFORK COMPLEX (RAINBOW),2006,2453944.5,Lightning,2453956.5,3383.0,44.92027778,-115.83666667,ID
202,SOUTHFORK COMPLEX (TWIN LAKES),2006,2453955.5,Lightning,2453958.5,1539.0,45.05611111,-115.49972222,ID
203,SOUTHFORK COMPLEX (VAN METER),2006,2453954.5,Lightning,2454031.5,3300.0,44.97444444,-115.50166667,ID
204,SOUTHFORK COMPLEX (TAILHOLT CREEK),2006,2453956.5,Lightning,2454031.5,4500.0,45.05916667,-115.68888889,ID
205,NANNY CREEK,2006,2453967.5,Lightning,2454000.5,2362.0,48.01694444,-112.83777778,MT
206,CIGARETTE ROCK,2006,2453990.5,Lightning,2454000.5,2271.0,47.38861111,-112.86972222,MT
207,SOUTHFORK COMPLEX (COUGAR),2006,2453954.5,Lightning,2454031.5,28431.0,44.8375,-115.75333333,ID
208,MEADOW,2006,2453981.5,Lightning,2453999.5,7200.0,45.73722222,-115.18944444,ID
209,CUDDY,2006,2453986.5,Lightning,2453996.5,1202.0,44.85916667,-116.76305556,ID
210,HEAVENS GATE COMPLEX (GREEN ACRES),2006,2453966.5,Lightning,2454028.5,6700.0,45.34861111,-116.49527778,ID
211,CLARKS CANYON,2006,2453970.5,Equipment Use,2453975.5,15387.0,45.01111111,-112.79305556,MT
212,HEAVENS GATE COMPLEX (BLACK BUTTE),2006,2453969.5,Lightning,2454035.5,33000.0,45.47027778,-115.88611111,ID
213,CASCADE CREST COMPLEX (LAKE GEORGE),2006,2453954.5,Lightning,2454024.5,5550.0,44.3075,-121.81388889,OR
214,CASCADE CREST COMPLEX (BLACK CRATER),2006,2453940.5,Lightning,2454009.5,9400.0,44.26083333,-121.73611111,OR
215,QUARRY,2006,2453798.5,Debris Burning,2453819.5,1140.0,37.43194444,-79.815,VA
216,FAMINE LAKE,2006,2453986.5,Lightning,2454038.5,4104.0,47.96444444,-90.71722222,MN
217,ULM PEAK,2006,2453955.5,Lightning,2454027.5,4980.0,47.89166667,-115.98416667,ID
218,BEAR GULCH II,2006,2453941.5,Miscellaneous,2454033.5,1100.0,47.50361111,-123.29638889,WA
219,CAVITY LAKE,2006,2453930.5,Lightning,2454010.5,31830.0,48.09305556,-90.99527778,MN
220,MOUNT CARMEL,2006,2454059.5,Equipment Use,2454060.5,4000.0,36.99861111,-102.32666667,OK
221,REDEYE,2006,2453987.5,Lightning,2454038.5,1792.0,47.97611111,-90.55916667,MN
222,TURTLE LAKE,2006,2453929.5,Lightning,2454038.5,2085.0,47.85111111,-91.53666667,MN
223,RABBIT,2006,2453967.5,Lightning,2454045.5,2200.0,46.40444444,-114.63694444,ID
224,LINDSEY BAY,2006,2453917.5,Lightning,2453925.5,1073.0,30.13583333,-84.96888889,FL
225,JUNIPER,2006,2453958.5,Miscellaneous,2453972.5,4014.0,29.21666667,-81.69722222,FL
226,SAUSE,2006,2453889.5,Lightning,2453903.5,1824.0,30.53944444,-88.96611111,MS
227,SKATES,2006,2453888.5,Lightning,2453914.5,12582.0,32.95611111,-108.13027778,NM
228,BLACK BIRD MINE WFU,2006,2453892.5,Lightning,2453931.5,1463.0,38.44805556,-112.13472222,UT
229,,2006,2453793.5,Arson,2453793.5,4191.0,31.33861111,-110.42611111,AZ
230,WILLOW,2006,2453897.5,Miscellaneous,2453897.5,1806.0,31.44527778,-110.655,AZ
231,103,2006,2453882.5,Campfire,2453885.5,1634.0,31.35111111,-110.31333333,AZ
232,HUGHES LAKE FIRE,2006,2453855.5,Debris Burning,2453862.5,5818.0,44.51,-84.19,MI
233,HUGHES 32 COMPLEX,2006,2453966.5,Lightning,2454045.5,1234.0,48.77916667,-116.9525,ID
234,HUGHES 32 COMPLEX,2006,2453969.5,Lightning,2454045.5,2959.0,48.96166667,-116.98361111,ID
235,DOG VALLEY,2006,2453932.5,Lightning,2453950.5,28661.3,38.67555556,-112.52527778,UT
236,SOUTH WATER HOLLOW,2006,2453936.5,Lightning,2453989.5,1424.0,38.87388889,-111.3975,UT
237,SUNSET CANYON,2006,2453939.5,Lightning,2453950.5,1096.0,38.83722222,-112.3175,UT
238,BRINS FIRE,2006,2453904.5,Smoking,2453923.5,4317.0,34.89861111,-111.76861111,AZ
239,ISABELLE,2006,2453905.5,Lightning,2453913.5,1190.61,41.12972222,-106.09805556,WY
240,DEVILS DEN,2006,2453962.5,Lightning,2453976.5,14153.7,39.35388889,-112.26833333,UT
241,GASH CREEK,2006,2453940.5,Arson,2454039.5,8800.0,46.395,-114.25388889,MT
242,ESPERANZA,2006,2454034.5,Arson,2454038.5,40200.0,33.89972222,-116.76611111,CA
243,KILN (BAYOU BACON),2006,2453896.5,Arson,2453900.5,3708.0,30.41972222,-89.49694444,MS
244,SULPHUR MOUNTAIN,2006,2453912.5,Lightning,2453948.5,3739.0,34.35666667,-93.78666667,AR
245,ELKHORN,2006,2453936.5,Lightning,2453978.5,1002.0,45.34666667,-114.57388889,ID
246,MAGGIE,2006,2453925.5,Lightning,2454080.5,2097.0,36.26333333,-118.61472222,CA
247,SHELDON PEAK,2006,2453968.5,Lightning,2453996.5,2384.0,44.70111111,-114.55361111,ID
248,,2006,2453925.5,Lightning,2454080.5,4654.0,36.32055556,-118.40305556,CA
249,BRODER WFU,2006,2453943.5,Lightning,2453945.5,1220.0,36.14194444,-118.18555556,CA
250,BRODER WFU,2006,2453943.5,Lightning,2454007.5,2270.0,36.16666667,-118.16888889,CA
251,TINPAN,2006,2453923.5,Lightning,2454064.5,9252.0,48.16416667,-120.72583333,WA
252,THORN CREEK,2006,2453969.5,Lightning,2454012.5,13536.0,44.31166667,-119.43472222,OR
253,MILLARD,2006,2453925.5,Lightning,2453987.5,24000.0,34.34166667,-116.76666667,CA
254,EMERALD,2006,2453976.5,Miscellaneous,2453982.5,2109.0,34.08416667,-117.09361111,CA
255,PEAVINE COMPLEX,2006,2454079.5,Arson,2454083.5,2871.0,37.61472222,-79.36555556,VA
256,BATTLE MOUNTAIN,2006,2453970.5,Lightning,2453992.5,1370.0,43.28972222,-109.96638889,WY
